context,wgs_n_positions,wgs_mean_c_t,wgs_d_c_t_wavg,wgs_d_c_t_std_across_chr,wgs_d_oscil_wavg,wgs_d_oscil_std_across_chr,paper_pooled_c_t,paper_d_c_t,delta_wgs_vs_paper_mean_c_t,delta_wgs_vs_paper_d_c_t
intron,1669197918,30.111775609104253,0.0,0.0,0.0,0.0,27.72,0.0,2.391775609104254,0.0
splice_donor,624245,28.68128859662472,-0.2829367220645465,0.05093552876856878,0.21188728046848002,0.05156859673431962,25.55,-0.354,3.131288596624721,0.07106327793545347
splice_acceptor,610208,27.656036957889768,-0.48223182467411485,0.07418685971175304,0.43842903716802534,0.08306776912526508,25.96,-0.34,1.696036957889767,-0.14223182467411483
coding_exon,26451317,30.284469502974087,0.024970506496876137,0.019415308667295378,-0.10148988755739641,0.017575553652487978,28.4,0.08,1.8844695029740883,-0.05502949350312386
3utr,50075413,29.61800295086932,-0.10030428283040167,0.037705759277143175,0.08151157687328964,0.03699436936057373,27.74,-0.02,1.8780029508693232,-0.08030428283040167
5utr,10058124,30.10388060437513,-0.010982184178919642,0.022058769944331657,0.00041275596592330857,0.02173209364749169,29.22,0.2,0.8838806043751326,-0.21098218417891965
intergenic,1180738775,30.652540177652757,0.1126552917899232,0.02519482162893427,-0.10796810704692703,0.023698000400175397,28.66,0.16,1.9925401776527565,-0.0473447082100768
