context,n,mean_amplitude,mean_amplitude_std_across_chr,mean_argmin_layer,mean_argmin_layer_std_across_chr,frac_committed,frac_committed_std_across_chr,frac_dipped,frac_dipped_std_across_chr,frac_deliberating,frac_deliberating_std_across_chr,frac_crosses,frac_crosses_std_across_chr,frac_late_argmin,frac_late_argmin_std_across_chr,frac_early_argmin,frac_early_argmin_std_across_chr,frac_broad_commit,frac_broad_commit_std_across_chr
intron,1669197918,0.003671033041127394,0.0004091084992978722,24.447821427848197,0.35669584839104357,0.008492918573122735,0.001678609386832441,0.04419804997624015,0.00450389068666758,0.11542695681699262,0.011716509353889609,0.12391987539011536,0.012068614809807116,0.6022850976261522,0.02488625818628695,8.866533944478596e-07,1.2874579663589742e-07,0.024586222854370947,0.0024574244821064448
splice_donor,624245,0.03382629902620577,0.003870382672175765,23.458467428653815,0.3851738168109563,0.21402814600036846,0.028586793078139064,0.07046912670505971,0.00800925817373174,0.19031950596320354,0.019228109256132105,0.404347651963572,0.021909973862403932,0.525388269028987,0.027918927091052037,0.0,0.0,0.04462030132399939,0.007694946041966138
splice_acceptor,610208,0.04353907473701546,0.006051257252693176,23.314766440295767,0.5198498472195333,0.2534185064764802,0.04528326699003384,0.06309979547957417,0.007049588151436527,0.24571785358435155,0.02150194449509009,0.49913636006083173,0.03398707211621015,0.5139853951439509,0.035418538214439056,0.0,0.0,0.08887297446116733,0.015546352304442852
coding_exon,26451317,0.0570162341745778,0.004416594747453928,27.562276539954514,0.3082177943357379,0.429814553279143,0.028180836245792495,0.03763612223920646,0.005990060140905936,0.08402481434100238,0.012704732396094489,0.5138393676201454,0.027235926155395232,0.8029572969844941,0.024956211624476737,3.780530096100697e-08,1.5495893066839408e-07,0.03275712131838275,0.00489967598770389
3utr,50075413,0.015498177182496697,0.0021928241476416588,24.219394136599533,0.5785090731563207,0.09323575623829602,0.018333421395443878,0.054756113544185844,0.006692837755234356,0.1429899140322617,0.02055190093754318,0.23622567027055774,0.02043202736740277,0.5694136162192013,0.042433343568318134,5.391867661680594e-07,7.459927036917364e-07,0.03955140619609068,0.005520026404739627
5utr,10058124,0.009918785077252744,0.0013191835023462772,24.63534601482344,0.39450094768986144,0.05711760960592651,0.013844740952561009,0.04659387774499499,0.006297301683074488,0.11611638512311043,0.015323238797470638,0.17323399472903694,0.011849079695392013,0.596295193815467,0.02879429536141746,9.942211887624372e-08,3.4941277051368646e-07,0.033780752752700205,0.004318770016609401
intergenic,1180738775,0.003821862074539558,0.0013208882883191109,25.529486442079453,0.4706656717631183,0.03586742461303517,0.019982078736890275,0.03271878828574932,0.004620273925395303,0.08050953692106876,0.012707174126558664,0.11637696153410393,0.018858746489681,0.6828839367962656,0.03305297505095624,9.096000086894749e-07,2.428469363679428e-07,0.015414882940555586,0.00249212596852895
