feature,auroc_mean,auroc_std,auroc_ci_lo,auroc_ci_hi,delta_vs_32d,p_vs_32d
32d_cos_vector (paper baseline),0.8437090861549844,0.02131752604852649,0.8304619387546587,0.8558461929615782,0.0,1.0
argmax_layer_value (H2a),0.5518442549034915,0.02442663532845755,0.5374885684898336,0.5651982126728855,-0.2929920283263917,0.0
abs(argmax_layer_value),0.6880264261181732,0.01873702136357556,0.6772362222683933,0.6985248900352502,-0.15581975613345467,0.0
max_abs_dD_precomputed,0.7868273161599689,0.018562659310445043,0.7754787221032333,0.7970900442939876,-0.056834205551752004,0.0
signed_argmax_precomputed,0.5972269868720005,0.03196032496975586,0.5790064857122276,0.6144403100400463,-0.24704203087199805,0.0
best_fixed_layer L=30,0.7290622330161429,0.017228821519900076,0.7174117805108722,0.7374929493304385,-0.11482140609157243,0.0
argmax_layer + Evo2_LL ensemble,0.7509805638203622,0.021239264756813904,0.7386115753559364,0.7636005105368753,-0.09267938102001039,0.0
